#id	month	rating	games
36037370	2016-05	1051	6
36056855	2016-05	1180	8
45105804	2016-05	1092	10
36033995	2016-05	1300	8
45117373	2016-05	1049	8
36098442	2016-05	1296	1
36080039	2016-05	1071	4
36000310	2016-05	1420	7
36016950	2016-05	1208	7
36057290	2016-05	1206	6
36040940	2016-05	1193	6
45101418	2016-05	1307	8
36064378	2016-05	1169	7
36075760	2016-05	1216	3
36053627	2016-05	1031	3
45108382	2016-05	1287	9
36067440	2016-05	1125	5
45102635	2016-05	1490	15
36073938	2016-05	1179	8
36085111	2016-05	1067	6
45115419	2016-05	1164	7
36082805	2016-06	1230	4
36083364	2016-06	1031	1
36067377	2016-06	1221	7
26075954	2016-06	1648	7
26088240	2016-06	1110	4
36099112	2016-06	1219	6
36051756	2016-06	1309	4
36022365	2016-06	1371	2
45109583	2016-06	1190	4
36083372	2016-06	1242	8
36066893	2016-06	1020	6
45106614	2016-06	1258	7
36054038	2016-06	1386	11
36074918	2016-06	1324	6
45101698	2016-06	1093	6
36049336	2016-06	1121	5
36084476	2016-06	1199	1
36033995	2016-06	1330	6
36042080	2016-06	1232	10
36080039	2016-06	1058	3
36000310	2016-06	1416	5
36016950	2016-06	1214	4
36057290	2016-06	1176	1
36042099	2016-06	1027	1
45101418	2016-06	1307	7
36090670	2016-06	1026	2
36067431	2016-06	1189	8
45100861	2016-06	1197	2
36075760	2016-06	1215	6
36053775	2016-06	1190	4
36053627	2016-06	1051	7
45102635	2016-06	1558	5
36073563	2016-06	1106	2
36054046	2016-06	1104	3
36054054	2016-06	1010	2
45114994	2016-07	1162	1
36099112	2016-07	1221	6
45106746	2016-07	1024	26
36022365	2016-07	1391	2
36083372	2016-07	1243	2
36066893	2016-07	1002	4
45111928	2016-07	1008	1
36099490	2016-07	1114	6
36056847	2016-07	1188	1
54144949	2016-07	1207	3
36034665	2016-07	1166	2
36033995	2016-07	1344	5
36042080	2016-07	1275	3
36000310	2016-07	1432	1
45101418	2016-07	1297	1
36067431	2016-07	1183	1
45102635	2016-07	1546	1
36083364	2016-08	1054	9
36067377	2016-08	1177	3
26075954	2016-08	1603	7
45120919	2016-08	1088	9
26088240	2016-08	1061	8
45131325	2016-08	1294	7
45114994	2016-08	1144	6
36099112	2016-08	1182	3
45106746	2016-08	1053	17
36036480	2016-08	1084	5
36051756	2016-08	1290	11
45107459	2016-08	1003	6
45133263	2016-08	1132	6
36097993	2016-08	1249	7
36083372	2016-08	1317	9
36066893	2016-08	1005	8
36016691	2016-08	1357	7
36051217	2016-08	1250	10
36097926	2016-08	1161	7
45118280	2016-08	1046	5
36099309	2016-08	1010	9
36081264	2016-08	1105	8
36094366	2016-08	1156	10
36044644	2016-08	1557	18
36098841	2016-08	1013	13
36054038	2016-08	1382	6
45125244	2016-08	1217	6
45107513	2016-08	1116	9
45116270	2016-08	1049	9
36049336	2016-08	1210	14
36088625	2016-08	1100	6
36037370	2016-08	1076	6
36056855	2016-08	1250	6
45132933	2016-08	1143	9
36033995	2016-08	1396	8
36042080	2016-08	1275	7
36098442	2016-08	1248	5
36080039	2016-08	1080	11
36000310	2016-08	1523	8
36088676	2016-08	1029	12
36016950	2016-08	1316	8
36098477	2016-08	1230	6
36067431	2016-08	1143	3
45100861	2016-08	1134	13
45101426	2016-08	1001	5
36075760	2016-08	1151	11
36053775	2016-08	1124	13
36053627	2016-08	1097	15
36067440	2016-08	1144	5
45115753	2016-08	1216	5
36073938	2016-08	1128	7
45115419	2016-08	1145	8
7607580	2016-08	1184	6
36067377	2016-09	1116	8
26075954	2016-09	1610	15
45106746	2016-09	1037	4
36051756	2016-09	1254	16
36022365	2016-09	1304	8
36097993	2016-09	1111	5
36083372	2016-09	1338	15
36066893	2016-09	1002	1
36051217	2016-09	1387	21
45118280	2016-09	1002	3
36081264	2016-09	1094	3
45111928	2016-09	1010	4
36044644	2016-09	1554	13
36088200	2016-09	1117	5
36098841	2016-09	1032	3
36054038	2016-09	1330	6
36088218	2016-09	1117	6
36074918	2016-09	1275	4
45107513	2016-09	1115	3
45116270	2016-09	1137	7
36099783	2016-09	1217	9
36049336	2016-09	1240	7
36034665	2016-09	1141	4
36037370	2016-09	1024	3
36081280	2016-09	1071	9
36033995	2016-09	1392	13
36042080	2016-09	1324	7
36000310	2016-09	1577	11
36082279	2016-09	1307	12
36016950	2016-09	1290	7
36057290	2016-09	1164	6
36098477	2016-09	1160	6
45101418	2016-09	1311	5
45100446	2016-09	1240	6
36067431	2016-09	1141	3
36051250	2016-09	1194	5
45147752	2016-09	1183	10
45102775	2016-09	1226	13
